customer_id,usage_date,usage_level
C006,2025-07-08,low
C006,2025-07-22,high
C006,2025-08-05,low
C006,2025-08-12,medium
C006,2025-08-19,low
C006,2025-08-26,high
C006,2025-09-02,medium
C006,2025-09-09,medium
C006,2025-09-16,medium
C006,2025-09-23,high
C006,2025-10-07,high
C006,2025-10-14,low
C006,2025-10-28,high
C006,2025-11-11,high
C006,2025-11-25,high
C007,2025-07-30,high
C007,2025-08-06,low
C007,2025-08-13,low
C007,2025-08-27,medium
C007,2025-09-03,high
C007,2025-09-17,medium
C007,2025-09-24,medium
C007,2025-10-08,high
C007,2025-10-22,low
C007,2025-11-05,low
C007,2025-11-12,high
C007,2025-11-19,high
C008,2025-07-30,high
C008,2025-08-13,low
C008,2025-08-20,high
C008,2025-08-27,medium
C008,2025-09-03,medium
C008,2025-09-10,high
C008,2025-09-17,medium
C008,2025-09-24,high
C008,2025-10-08,medium
C008,2025-10-15,medium
C008,2025-10-22,low
C008,2025-11-05,high
C008,2025-11-12,low
C009,2025-03-12,low
C009,2025-03-26,medium
C009,2025-04-02,high
C009,2025-04-16,medium
C009,2025-04-23,low
C009,2025-05-07,low
C009,2025-05-21,medium
C009,2025-05-28,low
C009,2025-06-11,medium
C009,2025-06-18,medium
C010,2025-01-23,low
C010,2025-02-06,low
C010,2025-02-13,low
C010,2025-02-27,medium
C010,2025-03-13,low
C010,2025-03-20,low
C010,2025-04-03,high
C010,2025-04-17,high
C010,2025-04-24,medium
C010,2025-05-08,medium
C010,2025-05-15,high
C010,2025-05-29,medium
C010,2025-06-05,high
C010,2025-06-19,medium
C010,2025-06-26,low
C010,2025-07-10,low
C010,2025-07-24,high
C010,2025-08-07,medium
C010,2025-08-14,low
C010,2025-08-28,medium
C010,2025-09-11,low
C010,2025-09-18,high
C010,2025-10-02,low
C010,2025-10-16,high
C010,2025-10-30,medium
C010,2025-11-06,low
C010,2025-11-20,low
C010,2025-11-27,low
C011,2025-05-08,high
C011,2025-05-15,high
C011,2025-05-22,medium
C011,2025-06-05,low
C011,2025-06-12,high
C011,2025-06-26,high
C011,2025-07-10,medium
C011,2025-07-17,high
C011,2025-07-31,medium
C011,2025-08-07,high
C011,2025-08-21,low
C011,2025-09-04,medium
C011,2025-09-18,medium
C011,2025-09-25,low
C011,2025-10-02,medium
C011,2025-10-16,low
C011,2025-10-23,low
C011,2025-10-30,medium
C011,2025-11-06,high
C011,2025-11-13,medium
C011,2025-11-20,medium
C011,2025-11-27,low
C012,2025-05-07,medium
C012,2025-05-21,medium
C012,2025-05-28,medium
C012,2025-06-11,low
C012,2025-06-18,medium
C012,2025-06-25,low
C012,2025-07-09,low
C012,2025-07-23,low
C012,2025-08-06,low
C012,2025-08-20,low
C012,2025-09-03,low
C012,2025-09-10,medium
C012,2025-09-17,high
C012,2025-09-24,high
C012,2025-10-01,high
C012,2025-10-08,low
C012,2025-10-22,high
C012,2025-10-29,low
C012,2025-11-12,medium
C012,2025-11-26,low
C013,2025-03-24,medium
C013,2025-03-31,medium
C013,2025-04-07,high
C013,2025-04-14,low
C013,2025-04-21,high
C013,2025-04-28,high
C013,2025-05-05,medium
C013,2025-05-12,medium
C013,2025-05-19,high
C013,2025-06-02,medium
C013,2025-06-09,low
C013,2025-06-23,low
C013,2025-06-30,low
C013,2025-07-14,low
C013,2025-07-21,medium
C013,2025-08-04,medium
C013,2025-08-11,medium
C013,2025-08-18,low
C013,2025-08-25,high
C013,2025-09-01,high
C013,2025-09-15,high
C013,2025-09-22,low
C013,2025-10-06,low
C013,2025-10-13,high
C013,2025-10-20,low
C013,2025-10-27,medium
C013,2025-11-03,high
C013,2025-11-17,high
C013,2025-11-24,low
C014,2025-07-05,low
C014,2025-07-12,medium
C014,2025-07-19,medium
C014,2025-07-26,medium
C014,2025-08-09,low
C014,2025-08-23,medium
C014,2025-08-30,low
C014,2025-09-13,high
C014,2025-09-27,medium
C014,2025-10-11,medium
C014,2025-10-18,medium
C014,2025-11-01,high
C014,2025-11-08,medium
C014,2025-11-22,low
C015,2025-01-04,high
C015,2025-01-18,medium
C015,2025-01-25,high
C015,2025-02-08,medium
C015,2025-02-22,high
C015,2025-03-08,low
C015,2025-03-22,medium
C015,2025-03-29,high
C015,2025-04-05,medium
C015,2025-04-19,low
C015,2025-05-03,high
C015,2025-05-10,medium
C015,2025-05-17,medium
C015,2025-05-24,high
C015,2025-06-07,medium
C015,2025-06-21,high
C015,2025-06-28,medium
C015,2025-07-12,medium
C015,2025-07-19,high
C015,2025-08-02,low
C015,2025-08-09,medium
C015,2025-08-16,high
C015,2025-08-30,high
C015,2025-09-13,low
C015,2025-09-27,high
C015,2025-10-04,low
C016,2025-06-26,high
C016,2025-07-10,low
C016,2025-07-24,low
C016,2025-08-07,high
C016,2025-08-14,high
C016,2025-08-28,medium
C016,2025-09-11,medium
C016,2025-09-18,high
C016,2025-10-02,low
C016,2025-10-16,low
C016,2025-10-30,medium
C016,2025-11-06,low
C016,2025-11-13,high
C016,2025-11-27,low
C017,2025-04-06,low
C017,2025-04-13,high
C017,2025-04-20,medium
C017,2025-04-27,high
C017,2025-05-11,low
C017,2025-05-25,medium
C017,2025-06-01,medium
C017,2025-06-15,high
C017,2025-06-29,high
C017,2025-07-06,high
C017,2025-07-13,low
C017,2025-07-27,low
C017,2025-08-03,high
C017,2025-08-17,medium
C017,2025-08-24,high
C017,2025-09-07,high
C017,2025-09-21,high
C017,2025-09-28,high
C017,2025-10-05,medium
C017,2025-10-19,high
C017,2025-11-02,low
C017,2025-11-09,low
C017,2025-11-16,high
C017,2025-11-30,low
C018,2024-12-31,low
C018,2025-01-07,low
C018,2025-01-21,medium
C018,2025-02-04,low
C018,2025-02-18,medium
C018,2025-02-25,medium
C018,2025-03-11,low
C018,2025-03-25,low
C018,2025-04-01,high
C018,2025-04-15,low
C018,2025-04-29,high
C018,2025-05-06,medium
C018,2025-05-13,medium
C018,2025-05-27,high
C018,2025-06-10,high
C018,2025-06-17,low
C018,2025-06-24,high
C018,2025-07-08,high
C019,2025-01-25,low
C019,2025-02-08,medium
C019,2025-02-15,low
C019,2025-02-22,high
C019,2025-03-01,medium
C019,2025-03-15,low
C019,2025-03-29,high
C019,2025-04-12,high
C019,2025-04-19,high
C019,2025-04-26,medium
C019,2025-05-03,low
C019,2025-05-17,high
C019,2025-05-31,high
C019,2025-06-07,high
C019,2025-06-21,low
C019,2025-06-28,low
C019,2025-07-05,low
C019,2025-07-12,medium
C019,2025-07-26,low
C019,2025-08-02,high
C019,2025-08-09,medium
C019,2025-08-16,high
C019,2025-08-23,low
C019,2025-08-30,low
C019,2025-09-06,high
C019,2025-09-20,low
C019,2025-10-04,medium
C019,2025-10-11,medium
C019,2025-10-18,high
C019,2025-10-25,high
C019,2025-11-01,medium
C019,2025-11-08,high
C019,2025-11-15,low
C019,2025-11-29,medium
C020,2024-12-07,medium
C020,2024-12-21,low
C020,2024-12-28,medium
C020,2025-01-11,high
C020,2025-01-18,medium
C020,2025-02-01,high
C020,2025-02-08,medium
C020,2025-02-15,low
C020,2025-03-01,high
C020,2025-03-15,high
C021,2025-02-04,medium
C021,2025-02-11,medium
C021,2025-02-25,low
C021,2025-03-11,medium
C021,2025-03-18,high
C021,2025-03-25,high
C021,2025-04-08,medium
C021,2025-04-15,medium
C021,2025-04-22,medium
C021,2025-05-06,low
C021,2025-05-20,high
C021,2025-05-27,high
C021,2025-06-03,medium
C021,2025-06-10,high
C021,2025-06-24,low
C021,2025-07-01,high
C021,2025-07-15,high
C021,2025-07-22,low
C021,2025-08-05,low
C021,2025-08-12,medium
C021,2025-08-19,medium
C022,2025-01-27,high
C022,2025-02-03,medium
C022,2025-02-17,medium
C022,2025-03-03,low
C022,2025-03-10,low
C022,2025-03-24,low
C022,2025-03-31,medium
C022,2025-04-14,medium
C022,2025-04-28,medium
C022,2025-05-05,high
C022,2025-05-12,low
C022,2025-05-26,high
C022,2025-06-09,medium
C022,2025-06-16,medium
C022,2025-06-30,low
C022,2025-07-14,medium
C022,2025-07-28,high
C022,2025-08-11,high
C022,2025-08-18,medium
C022,2025-09-01,medium
C022,2025-09-15,low
C022,2025-09-29,low
C022,2025-10-13,low
C022,2025-10-20,high
C022,2025-10-27,medium
C022,2025-11-10,high
C022,2025-11-17,high
C022,2025-11-24,low
C023,2025-03-07,medium
C023,2025-03-14,high
C023,2025-03-21,low
C023,2025-03-28,low
C023,2025-04-04,medium
C023,2025-04-11,medium
C023,2025-04-18,medium
C023,2025-04-25,medium
C023,2025-05-09,high
C023,2025-05-23,high
C023,2025-06-06,medium
C023,2025-06-20,medium
C023,2025-07-04,medium
C023,2025-07-18,low
C023,2025-08-01,low
C023,2025-08-08,medium
C023,2025-08-22,low
C023,2025-08-29,high
C023,2025-09-12,medium
C023,2025-09-26,medium
C023,2025-10-10,high
C023,2025-10-24,low
C023,2025-10-31,medium
C024,2024-12-10,high
C024,2024-12-17,medium
C024,2024-12-24,high
C024,2024-12-31,high
C024,2025-01-07,low
C024,2025-01-21,high
C024,2025-01-28,medium
C024,2025-02-04,high
C024,2025-02-18,medium
C024,2025-02-25,high
C024,2025-03-04,medium
C024,2025-03-18,low
C024,2025-04-01,medium
C024,2025-04-15,medium
C025,2025-06-18,low
C025,2025-07-02,low
C025,2025-07-09,high
C025,2025-07-16,low
C025,2025-07-23,low
C025,2025-08-06,medium
C025,2025-08-13,low
C025,2025-08-27,medium
C025,2025-09-03,medium
C025,2025-09-17,high
C025,2025-09-24,low
C025,2025-10-01,medium
C025,2025-10-08,low
C025,2025-10-22,medium
C025,2025-11-05,medium
C025,2025-11-12,medium
C025,2025-11-26,low
C026,2025-01-15,medium
C026,2025-01-29,medium
C026,2025-02-12,medium
C026,2025-02-19,low
C026,2025-03-05,low
C026,2025-03-12,medium
C026,2025-03-26,medium
C026,2025-04-09,low
C026,2025-04-23,high
C026,2025-04-30,medium
C026,2025-05-14,medium
C027,2025-05-18,low
C027,2025-06-01,medium
C027,2025-06-08,high
C027,2025-06-15,high
C027,2025-06-29,medium
C027,2025-07-13,low
C027,2025-07-20,medium
C027,2025-07-27,high
C027,2025-08-03,low
C027,2025-08-10,medium
C027,2025-08-17,low
C027,2025-08-31,medium
C027,2025-09-14,low
C027,2025-09-21,medium
C028,2025-06-06,medium
C028,2025-06-20,high
C028,2025-06-27,medium
C028,2025-07-04,high
C028,2025-07-11,medium
C028,2025-07-18,high
C028,2025-07-25,high
C028,2025-08-01,medium
C028,2025-08-08,medium
C028,2025-08-22,low
C028,2025-09-05,medium
C028,2025-09-12,low
C029,2025-02-27,low
C029,2025-03-13,high
C029,2025-03-20,medium
C029,2025-04-03,low
C029,2025-04-17,high
C029,2025-04-24,low
C029,2025-05-08,low
C029,2025-05-15,high
C029,2025-05-29,medium
C029,2025-06-05,medium
C029,2025-06-19,high
C029,2025-06-26,low
C029,2025-07-03,low
C029,2025-07-17,medium
C029,2025-07-24,high
C029,2025-07-31,low
C029,2025-08-07,low
C029,2025-08-21,high
C029,2025-09-04,medium
C029,2025-09-18,high
C029,2025-09-25,high
C029,2025-10-02,low
C029,2025-10-09,medium
C029,2025-10-16,medium
C029,2025-10-23,low
C029,2025-10-30,high
C029,2025-11-06,high
C029,2025-11-13,low
C029,2025-11-27,medium
C030,2025-03-15,medium
C030,2025-03-29,medium
C030,2025-04-12,low
C030,2025-04-26,high
C030,2025-05-03,medium
C030,2025-05-10,medium
C030,2025-05-24,medium
C030,2025-05-31,medium
C030,2025-06-07,medium
C030,2025-06-14,high
C030,2025-06-21,low
C030,2025-07-05,high
C030,2025-07-12,low
C030,2025-07-26,high
C030,2025-08-09,low
C030,2025-08-23,medium
C030,2025-08-30,high
C030,2025-09-13,medium
C030,2025-09-20,medium
C030,2025-09-27,high
C030,2025-10-04,high
C030,2025-10-11,medium
C030,2025-10-25,medium
C030,2025-11-01,high
C030,2025-11-08,high
C030,2025-11-22,medium
